# ====================================================================
# WORLD SOCCER CHAMPS - 1992/1993 RETRO MEGA DATA PACK WITH PLAYERS
# ====================================================================

[ORGANIZATIONS]
COMP_CL, UEFA Champions League, UCL
COMP_EL, UEFA Cup, UC
COMP_CWC, UEFA Cup Winners' Cup, CWC

[TEAMS]
# --------------------------------------------------------------------
# TURKEY (1. LİG & 2. LİG - 1992/1993)
# --------------------------------------------------------------------
TR_T1_1, Galatasaray, GAL
TR_T1_2, Beşiktaş, BJK
TR_T1_3, Trabzonspor, TS
TR_T1_4, Fenerbahçe, FB
TR_T1_5, Kocaelispor, KOC
TR_T1_6, Bursaspor, BUR
TR_T1_7, Altay, ALT
TR_T1_8, Gaziantepspor, GAZ
TR_T1_9, MKE Ankaragücü, AGÜ
TR_T1_10, Sarıyer, SAR
TR_T1_11, Gençlerbirliği, GB
TR_T1_12, Karşıyaka, KSK
TR_T1_13, Kayserispor, KAY
TR_T1_14, Bakırköyspor, BAK
TR_T1_15, Konyaspor, KON
TR_T1_16, Aydınspor, AYD

TR_T2_1, Samsunspor, SAM
TR_T2_2, Karabükspor, KRB
TR_T2_3, Denizlispor, DEN
TR_T2_4, Sakaryaspor, SAK
TR_T2_5, Antalyaspor, ANT
TR_T2_6, Göztepe, GÖZ
TR_T2_7, Eskişehirspor, ESK
TR_T2_8, Adana Demirspor, ADS
TR_T2_9, Adanaspor, ADA
TR_T2_10, Mersin İdman Yurdu, MİY
TR_T2_11, Zonguldakspor, ZON
TR_T2_12, Orduspor, ORD
TR_T2_13, Malatyaspor, MAL
TR_T2_14, Çaykur Rizespor, RİZ
TR_T2_15, Diyarbakırspor, DIY
TR_T2_16, Boluspor, BOL

# --------------------------------------------------------------------
# ENGLAND (PREMIER LEAGUE & DIVISION ONE)
# --------------------------------------------------------------------
ENG_T1_1, Manchester United, MUN
ENG_T1_2, Aston Villa, AVL
ENG_T1_3, Norwich City, NOR
ENG_T1_4, Blackburn Rovers, BLA
ENG_T1_5, Queens Park Rangers, QPR
ENG_T1_6, Liverpool, LIV
ENG_T1_7, Sheffield Wednesday, SHW
ENG_T1_8, Tottenham Hotspur, TOT
ENG_T1_9, Manchester City, MNC
ENG_T1_10, Arsenal, ARS
ENG_T1_11, Chelsea, CHE
ENG_T1_12, Wimbledon, WIM
ENG_T1_13, Everton, EVE
ENG_T1_14, Sheffield United, SHU
ENG_T1_15, Coventry City, COV
ENG_T1_16, Ipswich Town, IPS
ENG_T1_17, Leeds United, LEE
ENG_T1_18, Southampton, SOU
ENG_T1_19, Oldham Athletic, OLD
ENG_T1_20, Crystal Palace, CRY
ENG_T1_21, Middlesbrough, MID
ENG_T1_22, Nottingham Forest, NOT

ENG_T2_1, Newcastle United, NEW
ENG_T2_2, West Ham United, WHU
ENG_T2_3, Portsmouth, POR
ENG_T2_4, Leicester City, LEI
ENG_T2_5, Swindon Town, SWI
ENG_T2_6, Derby County, DER
ENG_T2_7, Wolverhampton Wanderers, WOL
